name,genres,budget,link
The Bodyguard,"['Action', 'Drama', 'Music']",25000000,https://imdb-video.media-imdb.com/vi998899993/1434659607842-pgv4ql-1563826472349.mp4?Expires=1713477720&Signature=TgBJ3ScEIPhecs9Nu754R2YBGoWk8nhu8nZyOWNEuizeen5rrqRr596x0PZpe9S5d-armKJq7HKRxq1~E3EbItLOtvN285yt8jGUx5WUnjIv~dFJAvJGtXZXMueKF-YYMPp5TASjMEvVUifid6O9cRr-Tt-5hxV84k0C2ER-HF3~vLIxMfEzJNxWKSDozr5TnPTRHFXSnSbb5tKZvAp~C-btbLviTlMlKcX7trIoj9xgir35F1OLG~teZdEDBG58ufpHGoIHBLb8Zp43iIvomA-OCIBHtKe487KiVTDApCYJpnNTUgd6GFzFI5E6laV2g00ORJRO-ogStz9M46OQuA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Talented Mr. Ripley,"['Crime', 'Drama', 'Thriller']",40000000,https://imdb-video.media-imdb.com/vi673890841/1434659607842-pgv4ql-1658423352988.mp4?Expires=1713476840&Signature=tgbzYtL6-jUtET2NlwP02BnZVScLl2fd3Gja7wXowsqlddSzpeE7iRROYJssqcKYyQ4Fq4QnemtyyzlmcJBo3-Ul1WYpFvXGWRANQfEGJHqRDjdx2J5gLv8mPfuceuEvUH8kQIp4M7ZLeQQAin47NewcpgGtnw2vOwLjtrn9TsCAqVgoG0gzuRmw7lJf5LrTds94Gl0cGTwb9w9ebYnkormRNxVYzmw~PHqreKnd088r2FBBb5b2cIM1Xmdy9wY40zUgNqwWRus76W6eM7HIoA2BlS8q086wgDaVmXP0I7OJ-AscI7nBRxd5Hu6IvMY1mSZ~XI--QowGd-8XXnXDNw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Last of the Mohicans,"['Action', 'Adventure', 'Drama']",40000000,https://imdb-video.media-imdb.com/vi999228185/1434659607842-pgv4ql-1564568299781.mp4?Expires=1713477727&Signature=WqKCKSfmDSXucI~24aDbIBQKrG8TK5LeXzfKbnZZuaBWIutuzi2VHUjfXsqmX1lqAqh8GbFuh3uAY~~deMEeGXVzQiOC413f1oeyWvfoP6EOacNP49vfQN1ach0BvsQNrIFBqPUNtHW4Qfl88tlMF9~t9ej4oHhUb2e43tCLNfUfPUP1FO0vwJtCgbZgPxOMC4p2SriBIWgYuycErnM68~YmLR0qR~8jECoNYy6nTw9UaoUwA5LzGekHABmTNBSIzvgUjWeIHPjYIUAEmako8zHhAUtAXhdW~VODmHfhwynHouU4CRiSdtn0jUh0Hha8b6lSr1S1YowJMdrTnsEhKQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
17 Again,"['Comedy', 'Drama', 'Fantasy']",20000000,https://imdb-video.media-imdb.com/vi2523529241/1434659607842-pgv4ql-1616202400767.mp4?Expires=1713476884&Signature=k3WcBVvqb-PxGLKtbmvqZhkMx3N65E~G4IFwdgxLk4n6x3V5Rm7kgvzAXtWBuD1aZIWlO4NeFRCyK9M54eEMI-25sg4VrCF~jsEo-bQZDDgfOtKTGOKZtFn~CnOfb5SxVSIu4iSkaUZxkeFV27A-8hK93Qb~~XbkHzPqsjCL9lPv3Qo6NIN88kWJUUVSmYjfSrlJDX4L-MPBlOgA8kTjFUJ8szzTf12y6FHMFNb4mOvees~3UR9YKCcM-CDZtiUfS9ITAQnbFBgrsGfDLSKj2PTlyK2hnMN-vh70BX2x779Ia7q-73nJoBoP~5ST82D1Vi9vS7U8LzQ1An0VsCBM8g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Westworld,"['Action', 'Drama', 'Sci-Fi']",1250000,https://imdb-video.media-imdb.com/vi2605037593/1434659607842-pgv4ql-1563519526086.mp4?Expires=1713477130&Signature=ly8GAfDNpBkkTKbs8Iq7Y4AN6Xpwn30Q2QoAVU0CwsjMXuTAflkvWswyoz5xjXXiQnfjWICPqlG3ODykMbOaESJerclsvL89sxXD7ZcPe0AOG-gxAoTeKJ5Tm69cE2Hxa49B1aAPUHIFFnEAnbU7E-R~9f~Km-BRGXlzi3W0dCO-2~mKkRlj0I~xd0piMVUqnx3Djoc7VBGPNYMJWXr2V2n2KA1dP1AYp3CnYV98q3BMHD78fqc0SEZuRDq8rYxflVP-e00g0paNBmeGkXnOI8Ew9urZYBLFcgOc5oJitdKW6mVewJq2q5RSeVHxPT8OSfXza--C5nXfwLkBpBcRHA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Nobody,"['Action', 'Crime', 'Drama']",16000000,https://imdb-video.media-imdb.com/vi3458646297/1434659379400-8cjq25-1607619341883.mp4?Expires=1713477737&Signature=oE3yRA5fOpfhflWnMYmCPTdQ1f-jTjO63btx5lmJgEj0DDbEYnDLgp3jc90cza-G4Yg0-~Z4P~Sq3xZLOiGxMlcCQftMUroI4dRY5ZLnuew~HbwwUigytGC~YidpxT5bWlc-KYL85am8VTfwjDV1DgyGIN-GHV4lFmjLGVbcP28F2XOuIkwTuKjEt~6n3S4Box8TOM5HKARD6uj8eNeOXOG2aFP66a74tymhBAyDnVbAKw8~vtxzQVHutvL4LHMIcO4h1C9xK~EOC-QVobdtd7BVGOLZ56K-0k~LLy~EYCXTIbLbtGiN~7WodOw2AmKtTPJaDPRbh07QBgVpFJghXA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Happy Gilmore,"['Comedy', 'Sport']",12000000,https://imdb-video.media-imdb.com/vi3306209817/1434659607842-pgv4ql-1658844381689.mp4?Expires=1713477221&Signature=nrqqX7~3SPJvdc4sC5LDUwkNoTbYXbpg0WC5UYj0jSQEWxPkbsMs5uS-zHNpF5cPaO~sYhY3HxEGsg-Ry087SNb8pcVP~Fn2lz-VcHPEalChxcApXtkbmY7Ea6AqRFXguwHm8zEF~P046y6cJasjq4CQpBilAnNGYfsPa~v42qwygK6QUXu4DojknUvM-gNhK6bKKvTVYq7XPVKDtQOdXbuGTF-dLaLWY84md9X~8iWn8~RmeLA6lSFK7b~x3CkPTRTt~fKtUMous6E2vhwFoyK8twViEvM5yk6uUAOV4WCcIYqwxXTUGoVMrH28C0yF03vjUSv0vktxgvraHaLKFg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Into the Woods,"['Adventure', 'Comedy', 'Drama']",50000000,https://imdb-video.media-imdb.com/vi2720443417/MV5BMGY0M2QzZGYtOTdkNy00NDFiLWFmMGItN2MzZDBmY2NhODRmXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1713477746&Signature=WMifXAkjHFBdO-1ckBf03jStijLvcEAPduJ7sd~oWEd2GanuzQ2FDxZ6r645vVwU~0~W7l-ROgbFK6qT2XsoktHSxey-PrpakoCJ9KQR4~WC7-5CuD1rBaMzzir9fP7U4YAAAFumvGxV-RILmDBV6r6yhlC4~ppTY8zmXcc1URxFWl7bNoR1qx5sGpDv-hCJpo-8bv9oBw84rAp1sFj09dE6eOSs3O8pjtIzM3sFvUyEvbCfXbcE6WhOuNuKDmWL0yIDT1MzmYZW9tRmrO8pmNonV5vqrM-opcgyteuKar5I0Si6SWuRi4UcVZlH~UK0AqdB1QyBZFz2o62dBEohsQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Knives Out,"['Comedy', 'Crime', 'Drama']",40000000,https://imdb-video.media-imdb.com/vi622050329/1434659529640-260ouz-1562080763191.mp4?Expires=1713477750&Signature=KWm9ogZR-1Cxa6kJnFEdtZjIoD5C8bqsz4jEF5oWiVm3hhgngHB9wSiIKXXnVTLnjIx1rOjtaiXTYv5y13yChAp1YZk46wqNnwtqjjJ05PubQbaqcyHiiTQ473ljBIJUbnp01iGcb22PpeqqItNWX6DwxjGiF1jAixi0KR~pOwjQJ9x4MB-7mauOV6gOm5Maf~bQ-Pq-YOyLJa~QPrGRi~nJQdYc8HptEsmlQGMY924W0WAOnmj8pNJ-2tZMDGTa1uWSgOIItFwH4MhIS32ebsecVzDm96FpfugZjRPGrY4CzeJlS9lAVUstd8wJQP4lRGUVplc~fuFzNfPYcru4qg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Hunger Games: Catching Fire,"['Action', 'Adventure', 'Sci-Fi']",130000000,https://imdb-video.media-imdb.com/vi4243236889/1434659607842-pgv4ql-1607544702458.mp4?Expires=1713477754&Signature=UF0VoyUn5MYMvCBwwC2at1ENspi6wD~OdZi9nXx0N3Rqg81lPZnWXgL1UJmNLuYcv9R0-10NPZekGwZONqI5mnWUM45~3iGI4w7UdW3DQFLFL24ZagOlUp0wRhMXISea1ccUBJ4Q-akZbW7JHaTvp6r8wRTBUqCbjvRqUMC212Y7q8RBbhs38njcB1WOBTmgpriW2NVb2~ptx~KcKCdKAadFdKrsgF77kQR-MNdsVwgoXdmQum8~q3mwvF5jl50V7kdlalxR92LlLn91Mh8LEqfaHn5CN~GdtAAfm3BQrPiJmAAGgWr-k8GN5~5e3j3RqaeAa2WfcdTpGqhrXCkPJg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Guest,"['Action', 'Mystery', 'Thriller']",5000000,https://imdb-video.media-imdb.com/vi2685905945/1434659379400-8cjq25-1616202410183.mp4?Expires=1713477757&Signature=Fn00193d2SXhGKzv1xwsJQGnbqVs0l3VUkpKRdd~TLQEDGFXHoHLGGGL69axbeqbaw3VvVtF7Gx2LDz2ABzaw-VT4c-Q12HpVYl1BUuYiacuZSPapBEOGRHnfBRY6CAGjH1Ypc4nhBkK2nr1-iTbtiuNcpW3jYQH~sHWCRRBSefuBYVDoP6bc4kPQ29Gn48lj4duBdJkOckA2scmYKaYPHNHWwTbL4hSa39PRHUlgPfnZaa~gIc4fU73R~LbKtTC5BOmX~Ze-bT9LQUnrCvD~NcK61OMMlIhL2Mm8IHPsxBa781kjwZ377TLT3IqzN6Syz9-iu9NBWH3mM9tL6EPsQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
