name,genres,budget,link
Ford v Ferrari,"['Action', 'Biography', 'Drama']",97600000,https://imdb-video.media-imdb.com/vi751352857/1434659529640-260ouz-1559561000300.mp4?Expires=1713542203&Signature=Hg8JqLs5FreXZKU3nPHIRMLYp5iIgp-Xk5OB-nkWrzHO5vxN3O5DrHK35pggeoxu6aSZkLsGEg1rd9a1C5Rfmsf3UDL~Pp2~Vk08u8pfQtLrd0Sg56OxGrlbbi3pdfZkf5QeDsUEYk6guiPIxqIGMniaolg97dEewDSF84CTgjgoZ~Dd-dPnWkbzNCYcx~Fp6B-I5Hi0J0qkooVTbi-ZuL7h~UOaQVi5RhWRFv73eX4kNzk~7u2h7voTVu1BAd0ox~mcLjBlrmV~lBHqEdY3XrCc-4t5VtvcmstemY-hdr4SRnQYdgethAJ~FPFTNq6-6-UOz5o9QqjNirqPMnVPPQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Abyss,"['Adventure', 'Drama', 'Mystery']",70000000,https://imdb-video.media-imdb.com/vi472565529/1434659607842-pgv4ql-1700154248898.mp4?Expires=1713542023&Signature=ONQ0bx~XwZK~yaGE8FcAYWomN-YxtUb240Vao-mJvzWwbRYanNkKDIV8Y5uQ9lhGVm8DD9xy391bY690Lvf~1gD~3k0vO9BLoKua5bslq1n02M33aUVBkYRDCT~RitWdOny2H6Kb-uFoERyEUHmzip7TPFggygamS4SU3DR6LDeA5~TP9kjD5QAraN8meXt0gvpC9wydRrZg~rO6QOfp9GEJiCBEtldXXX67iAcZBepTfmiUlfQAddlPths8mOSgjzOHVDfJQ7keH3tSUB2tTPVw8lwEEd8ODpnEUsAFBl7ncUU6TvTUFf9F9Cii3Re0AvnDrAm1-WI-SlUxhOpJVw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Rocketman,"['Biography', 'Drama', 'Music']",40000000,https://imdb-video.media-imdb.com/vi1213315609/1434659529640-260ouz-1550756596204.mp4?Expires=1713542158&Signature=hl4qTQmVhPk6uhjAal9Rk3FakPjP2L3fkqUfAaBiaMGJF4MQ59RN8k~nH5hMlBA7jMePhbxSkoYe6cSC~k4Sw0bhHJUE4~Hvrik62Wl~YCmIhGtP68WiPXNsM8jG7~DWF3iZcuTVVty~3Z6ipuazc~8oO1zlRpzzb7q9Cbz4YPoxTAFKC6mJ~iLHNMpvwWa90rSppiQFa2dCaIy-XyvR69TvBhUUqRMm7P10V8WEdHHNQH8725XuVMCi3yJtoo3kOfYgc-0GEQjypk00yVRQC6Kw5fgzateUOxNxmvj9L3TLukcyixNVoxPppwV56qOGK7QafGzEJYY4x5Bel1ZFfA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Bohemian Rhapsody,"['Biography', 'Drama', 'Music']",52000000,https://imdb-video.media-imdb.com/vi2982198041/1434659529640-260ouz-1531835459978.mp4?Expires=1713541935&Signature=i9fbkVkmP8OICefc07p3PTKwrS993F~uqe5cb~bl1yL6K1-3wWI94671U~VNFaXZrpoYMUiU0OVxlBqL2rRof9gKxNZtWNEMKnAJGKfhbwLK~UUq9VuLzCV7KLLvLkt6QT1o7d8nNEuiWCX9u9UDsrUBnSl2nIYy0nfZfm8rTYclI6gYzcupyRyKwDYs~YChMHgxxcMMKjubeJz12pvnWFtzxaR4tNeCBaONnXRcVAF3h8uh0kZBGEHacrpuNTa7pv4XoKavBoBOh116ganoCw1xpGUDTBj~UFf0pk6XP-RJbCNtKmkI9J4rcsnH-TbrQcfR21tYAn~cQrnrGnRIXQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Schindler's List,"['Biography', 'Drama', 'History']",22000000,https://imdb-video.media-imdb.com/vi1158527769/1434659607842-pgv4ql-1564710232825.mp4?Expires=1713541295&Signature=kLrHVk7WAWHIInDNCFv0B18ttWGgt0YCcSKqqmrE9XEPgwSGo288bjvldK9WuCZjq6wrkTGKEfNItdJSKQ0PmCTw1yHbb~mjuPlIbDQCZsobCPMkFpWF18P3DwsYObEWXs1AQmcxA5Rk4hgiw~csSjsNxxuMdhJNNBKvEyZCLhilRLKk2KAeO0q5LZZP2xrIKBJnP9TOWxRTqA06MHKyx4LAcrbgbQXxak6ecT-i-UvaWxyluouFhpyHmP3AwJoJXTwJBu-SmtrRxSyJC0yfcvUlFNAGqtyet0uuDJyidDmdF3OJw9KEY7rkhxMMQ7jFTJtBr0ZXgm3jnKTyKoLOkQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Omen,"['Drama', 'Fantasy', 'Horror']",25000000,https://imdb-video.media-imdb.com/vi3576145433/1434659607842-pgv4ql-1564541336711.mp4?Expires=1713541842&Signature=cmEdfLXVesoVEXkpKU7yRbLx8-6QCETJ8Pl-or3fWv5waEWTYvrojh~2c-BUCmDYddZBkQ7jr4t1VqCNE9Y7I2lUJIRlC43MNMEYrFaYA33zLB8RTlM8fwUDkXpsIg9FB5-tXIvcfIg150-2sTO4~Tl-HX2RmMpPjR4eXfgvu6jbywg73Cfyn~XVqDD~3CKcCWKFBov9SJEtlg-p5l9zgrS8imfIcJYybOL-Qf4BFD1Cdyx2tVO~cwCvoeATPGzbmYtYi2Sj9MzwhBEm7ei4ow6wtyO5HvHgC2MObIJ5WYTwdAiZxGBylnlb8YSFdXBMcC6P87aj1yNuXjfDlwk08w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Beetlejuice,"['Comedy', 'Fantasy']",15000000,https://imdb-video.media-imdb.com/vi4170302233/1434659607842-pgv4ql-1633318811796.mp4?Expires=1713542020&Signature=GfexDGJ8nyh7s1x8nfqpiK12A-A2nSixgHWs-SfMhiEYuZhPs~RkKsiQTDfkdKVnhfGF53D71lFVcbvMtSbJ5FxwsMy5KRmZ~uxQTMD6PE~FOn2WXH5fX-Xmk-hIHFt-lA0ivFIQHD1L5qG3i6oM4WhNHNPs3H~INwQhRgYA2HuyszvTR8zn21resg8LQDy9mGZZK21sjYjq3hspw1AVZMt30zWHGBa0ImkuoegHrT1-c1sDWq05hdmmsAfoXPnY-ToxJSlKUj60FRzyidy95R-jKxE4EzTjHJuS-5M-H3EkBi22GqG~uzGaHWoHrEcTmhxYm01V8MJK6UQwlnEU6w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Deadpool,"['Action', 'Comedy']",58000000,https://imdb-video.media-imdb.com/vi567457049/1434659607842-pgv4ql-1455136706034.mp4?Expires=1713541712&Signature=Ay3f-SMXKnUetYfGvye1w3JQHaOmEy6uVj4Rp6MIIo5AI7sTyypcSfyzO44JCw3v-vBb2BBwgdDbYjnl08Uos6yp3mHP-5Ub~dqYVnPdbUzrG7UILJly984djed7920OBqMohQawrBMAiSzyR51ghZfUSAmlZd~J~9QZxGVT6-5AvlHMjrtMnURokSBDuY4HsecILY9RYSR4cirw7MT2sFyBIMzFdDao5WO1kYbkZrqVSJ1PFF2cdjcKAKqbTcVQkH4Sw1QbxJTD04URoyVXBnHN7jFpZFK9qG16HB71MmRI4Xlktb2Zm0QHvogUxOmtDUnuGZAyG3gdxEOkO7SjuQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Annihilation,"['Adventure', 'Drama', 'Horror']",40000000,https://imdb-video.media-imdb.com/vi3348477977/1434659529640-260ouz-1513176611815.mp4?Expires=1713542118&Signature=joeY4kIAIhKIVaB90hsSZ-IdqW1Pvi32lYfuzYsq--N5pm83vVB4ECpUj0SyVM~LWMEgVHsckHWlOkxt8G8tr4g6YqdV142jweWtTnJSN1Y32OLVhXgFS6h9HsppMACU05tbZ4zuGTGYfWHKNGtTcFOsR86ty8j6CPqYQim-LeAqU-XEhW3U96mRh1ZAh1TgE~4zx4g4AFclDelZd1Izh2MlaL4~HA5GSvKYBdEtwPomI5FCIW1yZItydE-C6rydEk3YhbRRuPO-x-jAVqnzfjY6Ot0rvIL0SiKoN421w0J30hNUOMAHtlWqUcjFK-XJk4szgw7yiNUk1ubLpB7eWg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Midway,"['Action', 'Drama', 'History']",100000000,https://imdb-video.media-imdb.com/vi3198992153/1434659529640-260ouz-1568314195883.mp4?Expires=1713541903&Signature=cCxFv02PGsbLxzwc8JXiLKi-k0mkkg3PdWYNRsHXCImE4-JAjTidYmiFtT9EbKe3~r5ZBXZkqnF6XAJD8nJKU7y2iQZMFQBulYU8GJsGpYfTu5cyxk6g60~bWWV8JF97dKTmOPhDrdbWeaKoeEY5MNtyG0RBL0uJR9xiBTRUfzjq7Ms3RrSYX8zsVdLn9ywMkL9TEocolkXvKto0d8-y6~G7uuCH3qmuGf05mgSWBc7wGKoKhfJE4c~EHuGb51QbKrRsJOwx8Mf580GBpWpsPax-dBg0o7qmCW6muQ~TfMDwaJIl7IC3-wvnWvLfVLu8Sq-SMUjJY7Bl2i4M7b6~8w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
